x ; y ; class
92.446109 ;139.526401 ;1
87.726237 ;135.487931 ;1
101.565482 ;125.955668 ;1
90.611566 ;119.162149 ;1
98.110897 ;154.055550 ;1
93.860285 ;149.318789 ;1
100.180454 ;127.580135 ;1
90.540783 ;137.725779 ;1
101.594941 ;124.203875 ;1
102.912430 ;137.964250 ;1
93.328104 ;137.397966 ;1
92.404068 ;134.409214 ;1
93.723440 ;154.799236 ;1
92.212386 ;139.242606 ;1
89.696104 ;151.421649 ;1
92.772694 ;138.099893 ;1
107.525196 ;135.883503 ;1
83.844465 ;124.867755 ;1
97.411891 ;139.034135 ;1
103.192179 ;133.591479 ;1
79.732480 ;145.309952 ;1
92.414872 ;137.557231 ;1
101.632116 ;150.670092 ;1
93.201399 ;139.241497 ;1
110.372399 ;129.428631 ;1
93.741982 ;138.308565 ;1
102.740087 ;126.408313 ;1
108.648388 ;135.076500 ;1
83.510267 ;147.780579 ;1
92.480718 ;137.579715 ;1
104.072266 ;139.528015 ;1
106.232569 ;140.738003 ;1
98.200603 ;152.759451 ;1
102.214149 ;122.122556 ;1
100.235214 ;134.139048 ;1
80.839190 ;122.928024 ;1
84.064774 ;139.137585 ;1
97.290241 ;139.669301 ;1
90.791627 ;135.710902 ;1
91.044388 ;128.975480 ;1
85.559897 ;140.059900 ;1
102.318669 ;127.345014 ;1
90.023102 ;133.904171 ;1
109.345809 ;138.994634 ;1
92.351563 ;150.953569 ;1
93.083082 ;120.884512 ;1
96.867164 ;141.490172 ;1
81.949711 ;136.109373 ;1
93.513506 ;142.731541 ;1
96.917790 ;148.877424 ;1
96.567177 ;142.924106 ;1
92.206442 ;138.761924 ;1
92.054972 ;134.672807 ;1
97.400664 ;130.907058 ;1
104.369501 ;152.209179 ;1
95.749491 ;140.276525 ;1
94.906589 ;137.923620 ;1
77.853074 ;134.899946 ;1
80.618850 ;124.172073 ;1
103.962451 ;124.566134 ;1
93.508925 ;129.188892 ;1
75.561692 ;132.000874 ;1
101.535252 ;131.519360 ;1
74.011795 ;139.127159 ;1
91.594898 ;139.416983 ;1
90.261575 ;144.434028 ;1
91.601138 ;136.389093 ;1
77.452757 ;134.938215 ;1
76.634334 ;131.868837 ;1
91.920703 ;127.415267 ;1
92.650271 ;137.868721 ;1
96.651626 ;137.852056 ;1
91.837676 ;137.216089 ;1
92.557994 ;135.785587 ;1
96.606059 ;147.833126 ;1
90.893303 ;132.945010 ;1
103.780912 ;131.260891 ;1
98.100775 ;135.394821 ;1
88.684374 ;135.316684 ;1
90.255336 ;138.445831 ;1
93.800651 ;134.311775 ;1
92.639362 ;141.265887 ;1
103.650481 ;134.700375 ;1
78.671575 ;126.999683 ;1
76.228331 ;139.360256 ;1
87.701498 ;135.396363 ;1
102.516917 ;143.378041 ;1
100.652829 ;131.955411 ;1
97.255631 ;127.170629 ;1
91.337091 ;151.304843 ;1
82.963035 ;141.062110 ;1
99.076771 ;141.024191 ;1
92.534427 ;156.085658 ;1
91.247145 ;140.499302 ;1
97.092865 ;142.654468 ;1
92.608567 ;137.291412 ;1
90.461849 ;133.673502 ;1
