x ; y ; class
2610.278162 ;719.651552 ;1
2609.488833 ;717.302061 ;1
2610.523967 ;719.419238 ;1
2610.973063 ;717.765964 ;1
2610.131944 ;714.722120 ;1
2612.618737 ;714.443236 ;1
2608.868569 ;717.280348 ;1
2614.447176 ;718.347813 ;1
2613.828040 ;718.085611 ;1
2609.436209 ;718.831216 ;1
2612.087312 ;719.176000 ;1
2611.732248 ;717.568403 ;1
2611.660019 ;718.001628 ;1
2612.423354 ;720.904187 ;1
2609.745112 ;719.148999 ;1
2608.204435 ;720.726727 ;1
2610.740065 ;719.466053 ;1
2612.113257 ;715.043147 ;1
2611.599276 ;716.552436 ;1
2612.876902 ;718.243327 ;1
2610.741932 ;717.344548 ;1
2607.765451 ;715.830692 ;1
2610.785317 ;715.401105 ;1
2608.099841 ;719.234337 ;1
2611.176408 ;721.655099 ;1
2608.301528 ;715.084316 ;1
2611.287427 ;718.448431 ;1
2610.406653 ;718.712888 ;1
2612.632941 ;721.387117 ;1
2610.392834 ;718.300748 ;1
2610.884435 ;717.896066 ;1
2611.077022 ;720.401181 ;1
2609.255591 ;715.581447 ;1
2611.911513 ;716.030873 ;1
2613.121092 ;717.333952 ;1
2609.556053 ;717.241604 ;1
2612.960807 ;719.192073 ;1
2611.549353 ;719.956261 ;1
2613.402097 ;719.167254 ;1
2610.439794 ;715.399816 ;1
2612.791031 ;716.727185 ;1
2613.004280 ;718.774449 ;1
2611.704036 ;716.696089 ;1
2611.869212 ;716.460372 ;1
2610.482240 ;716.815601 ;1
2611.097436 ;718.075253 ;1
2609.322951 ;715.797780 ;1
2607.779626 ;718.788936 ;1
2607.959311 ;718.704860 ;1
2611.321799 ;716.612699 ;1
2611.485778 ;719.633499 ;1
2611.181220 ;717.920972 ;1
2608.915358 ;716.433707 ;1
2613.039943 ;719.718707 ;1
2608.986699 ;719.636910 ;1
2611.640482 ;717.959378 ;1
2609.325174 ;718.280849 ;1
2611.080984 ;717.038038 ;1
2613.866421 ;716.992828 ;1
2608.822300 ;719.804308 ;1
2612.590744 ;721.135394 ;1
2612.221512 ;715.287947 ;1
2607.781439 ;716.688031 ;1
2613.061061 ;719.998658 ;1
2610.175077 ;717.647124 ;1
2610.941133 ;717.916336 ;1
2612.814192 ;719.972841 ;1
2609.095716 ;718.440064 ;1
2612.619825 ;718.753731 ;1
2613.505311 ;719.473468 ;1
2612.136314 ;719.576277 ;1
2610.656602 ;716.782182 ;1
2610.791587 ;717.971992 ;1
2612.898561 ;716.071883 ;1
2612.458445 ;717.004850 ;1
2610.291507 ;716.814850 ;1
2608.691435 ;716.233000 ;1
2610.665164 ;715.899878 ;1
2612.898837 ;717.741685 ;1
2612.542622 ;714.907437 ;1
2608.360823 ;718.609619 ;1
2609.624880 ;716.836664 ;1
2608.617516 ;719.319305 ;1
2609.719530 ;719.585267 ;1
2610.917510 ;714.872289 ;1
2610.862866 ;717.940565 ;1
2608.687283 ;717.059130 ;1
2610.647663 ;717.763319 ;1
2610.688689 ;714.015441 ;1
2611.513092 ;718.088047 ;1
2613.930481 ;715.476463 ;1
2613.057205 ;719.853396 ;1
2611.126242 ;718.519698 ;1
2612.349538 ;718.512830 ;1
2611.275052 ;718.067547 ;1
2610.715189 ;717.702433 ;1
2614.191201 ;717.493830 ;1
2609.639121 ;718.851897 ;1
2610.013030 ;719.401847 ;1
2612.809598 ;717.315305 ;1
2608.831531 ;720.463797 ;1
2608.660363 ;715.001898 ;1
2611.526566 ;719.414894 ;1
2611.095087 ;717.645146 ;1
2612.818253 ;718.064059 ;1
2611.639979 ;715.585913 ;1
2611.223485 ;718.182043 ;1
2614.068573 ;715.723124 ;1
2609.877133 ;717.881658 ;1
2608.334598 ;717.886956 ;1
2610.645712 ;718.308184 ;1
2610.346570 ;717.143542 ;1
2611.834334 ;715.336896 ;1
2614.505652 ;719.533168 ;1
2613.593026 ;720.801944 ;1
2611.950977 ;720.766732 ;1
2610.936829 ;717.283224 ;1
2609.839262 ;718.046002 ;1
2611.853419 ;716.852517 ;1
2612.460622 ;719.095617 ;1
2613.680989 ;717.244600 ;1
2610.080225 ;717.955938 ;1
2612.802694 ;714.407839 ;1
2614.191691 ;719.117553 ;1
2609.542002 ;720.783566 ;1
1524.136561 ;619.371697 ;2
1521.792159 ;619.457939 ;2
1521.127964 ;617.139061 ;2
1520.701531 ;621.530756 ;2
1524.864088 ;620.063301 ;2
1521.167522 ;619.820887 ;2
1520.814555 ;619.897923 ;2
1519.521682 ;619.447547 ;2
1520.603425 ;619.642383 ;2
1519.200748 ;620.078292 ;2
1521.488706 ;616.070670 ;2
1523.066666 ;619.040265 ;2
1524.879911 ;620.995871 ;2
1518.637270 ;621.587199 ;2
1522.722346 ;619.708874 ;2
1521.940571 ;618.405195 ;2
1521.142147 ;619.987639 ;2
1522.328760 ;620.626601 ;2
1518.242157 ;617.427214 ;2
1522.425836 ;618.771719 ;2
1519.086850 ;618.450752 ;2
1520.618879 ;621.290428 ;2
1521.344353 ;618.917883 ;2
1519.992567 ;621.601408 ;2
1520.814371 ;619.116610 ;2
1521.329618 ;620.842133 ;2
1524.636721 ;618.369256 ;2
1520.869247 ;619.513904 ;2
1521.233656 ;619.184800 ;2
1520.572658 ;618.938421 ;2
1520.412945 ;619.328069 ;2
1522.376172 ;621.413806 ;2
1522.356748 ;617.786919 ;2
1522.512401 ;617.238080 ;2
1521.928523 ;617.834788 ;2
1519.969524 ;617.722956 ;2
1518.120556 ;621.188886 ;2
1520.787430 ;620.177956 ;2
1523.059890 ;619.348520 ;2
1517.781164 ;620.164867 ;2
1519.223434 ;620.063572 ;2
1521.680380 ;620.611558 ;2
1519.359272 ;621.832534 ;2
1522.605285 ;618.232991 ;2
1519.580737 ;620.667941 ;2
1521.052561 ;619.873498 ;2
1518.660630 ;620.842512 ;2
1521.305242 ;617.596033 ;2
1518.003964 ;619.717888 ;2
1519.153375 ;621.196479 ;2
1518.722390 ;619.802107 ;2
1522.847466 ;617.103262 ;2
1518.086665 ;622.213656 ;2
1521.382677 ;621.678397 ;2
1522.386676 ;621.755749 ;2
1521.025757 ;620.212299 ;2
1522.517258 ;617.605108 ;2
1521.542357 ;619.595569 ;2
1520.852568 ;622.354963 ;2
1518.899780 ;617.485760 ;2
1521.414745 ;619.421530 ;2
1517.964429 ;621.806138 ;2
1519.594065 ;620.869631 ;2
1521.309241 ;619.896984 ;2
1522.023705 ;620.148182 ;2
1523.088687 ;617.634379 ;2
1521.671476 ;622.023596 ;2
1521.998925 ;619.032356 ;2
1521.681150 ;622.659594 ;2
1521.141290 ;619.943523 ;2
1520.193949 ;619.394319 ;2
1520.797087 ;620.024806 ;2
1522.333209 ;619.591302 ;2
1524.162372 ;618.801304 ;2
1521.824143 ;618.819572 ;2
1523.518158 ;619.151332 ;2
1521.167329 ;620.541740 ;2
