x ; y ; class
119.372936 ;54.177490 ;1
98.686894 ;54.810869 ;1
98.165873 ;46.835863 ;1
95.237375 ;55.586194 ;1
111.354964 ;49.256729 ;1
120.551100 ;57.846244 ;1
98.641650 ;57.748252 ;1
96.802573 ;55.779758 ;1
105.085279 ;45.460454 ;1
94.142990 ;41.496403 ;1
111.035713 ;50.955406 ;1
101.495481 ;58.945445 ;1
99.397434 ;54.909828 ;1
111.010255 ;56.259536 ;1
98.273393 ;56.320129 ;1
96.418061 ;59.406616 ;1
112.000864 ;52.891444 ;1
96.511304 ;54.759677 ;1
110.575296 ;68.027823 ;1
101.274728 ;59.563411 ;1
91.200055 ;58.297779 ;1
103.480828 ;69.297277 ;1
105.861253 ;55.141197 ;1
101.218904 ;44.547982 ;1
85.863667 ;64.403346 ;1
104.824206 ;53.956102 ;1
82.258341 ;52.473888 ;1
103.978651 ;43.742117 ;1
101.745219 ;52.239115 ;1
92.675123 ;51.970560 ;1
89.142246 ;65.075224 ;1
95.069208 ;47.215748 ;1
96.318923 ;43.569524 ;1
97.085808 ;69.234318 ;1
102.502154 ;48.837504 ;1
99.878797 ;50.549165 ;1
100.185821 ;58.028779 ;1
105.736730 ;50.115497 ;1
89.936113 ;49.992016 ;1
108.262408 ;58.303598 ;1
100.203657 ;56.391803 ;1
102.969286 ;61.630065 ;1
102.793632 ;77.328876 ;1
119.065425 ;61.396338 ;1
107.063175 ;68.063279 ;1
95.130972 ;50.304493 ;1
88.647849 ;43.959428 ;1
84.868453 ;60.370794 ;1
96.696390 ;58.036925 ;1
108.051125 ;74.233518 ;1
118.107147 ;59.570282 ;1
106.009925 ;60.204129 ;1
86.738129 ;49.054887 ;1
109.540606 ;71.054757 ;1
108.713396 ;71.167338 ;1
100.285367 ;55.228866 ;1
99.107231 ;53.571301 ;1
107.537236 ;51.963624 ;1
98.259348 ;55.070297 ;1
86.915245 ;56.682433 ;1
103.197514 ;51.052611 ;1
100.096585 ;61.424012 ;1
